alpha1,gamma1,beta1,alpha2,gamma2,beta2,alpha3,gamma3,beta3,alpha4,gamma4,beta4
-0.07193402997094603,0.5412720845591803,0.2828231777367646,-0.013669994614716961,-0.008363383674764743,-0.1463711302546783,-0.015780310188750885,-0.01432250500820354,-0.15030528208110702,-0.02348465458815188,0.05964224285525792,-0.08748564646721292
-0.00563269758332817,0.5379909575689441,0.27949133892250577,0.015280261908186278,0.0186958047957554,-0.13079886433164378,-0.006589045786842287,-0.009093781573697089,-0.14396063102345605,0.027034039759536974,-0.11403310622203666,-0.24331584210843005
0.021327351446670535,0.5457355445519456,0.28836192426732316,-0.0077340244752519055,-0.02469718671399725,-0.15002502647807694,0.0022836939566727205,-0.01757187372384567,-0.14832593336022157,-0.004953085618632747,0.12065979655890605,-0.02989648038113258
-0.02078864823805,0.5372619635366037,0.28076022313632343,-0.03571733156026538,-0.00745543757690255,-0.139416436019072,-0.038979622598685114,-0.013356302308129113,-0.14311901716132042,-0.03100240120360385,0.019376730301933088,-0.11840203285072015
0.02972297584314557,0.5453262055988811,0.2902767387878257,0.00935467078021363,-0.010783507812343787,-0.13532880883506107,0.00867456367610983,-0.01418850020194388,-0.13802034714390007,0.01692388578949249,0.03206753257050162,-0.10148859038296239
-0.06332219937449089,0.5298424729703964,0.28747316772901876,-0.04815088722150493,-0.02280338490603528,-0.1407266628933275,-0.03869514308222508,-0.01596541690951974,-0.13882781526223703,-0.03446847705130776,0.04820535451086184,-0.08509439016087922
-0.022702005319379586,0.5453314668259982,0.2779213536950612,-0.04475301662582488,-0.03818629432313412,-0.1520983182785164,-0.026590081205322247,-0.019920109137989386,-0.14525436538188927,-0.07412300160593265,0.19698481440838514,0.04736997392176887
0.02712497725914362,0.540433527201731,0.2797236826450276,0.08728037084423822,0.03406385466911961,-0.13110878564382536,0.056620631405145845,-0.0065534933592740745,-0.1504242885781335,0.10545364592740046,-0.15057479867894272,-0.2858675423032652
-0.029272535823694067,0.5444720453196538,0.2819717973640949,-0.053450604840115885,-0.020201025923646115,-0.13936542381459255,-0.046753056284167885,-0.015886109970704883,-0.1386691197132268,-0.06708238235211825,0.11531049988589953,-0.022551960284111848
-0.006707019845088976,0.5414496194054647,0.29352176227917476,-0.001850827862357286,0.010602403645935775,-0.12636024417874722,-0.02264132048579938,-0.010682270695988599,-0.1365462547300307,-0.013067408737987625,-0.03892205949394819,-0.16588448563851918
0.015653011414956747,0.5505189985635046,0.27819841340275187,0.0264422304442729,0.0037991219828349358,-0.14159394722675997,0.013002665395395472,-0.011861751323922427,-0.14961857556305164,0.025346470022523746,-0.033505531613695405,-0.17393353116405755
0.13358229722640777,0.5356442036454803,0.2526089527395766,0.13109724227099864,0.04583420888153431,-0.13380085084876486,0.07928168853220297,-0.005962271390977938,-0.15690519101440364,0.0938716474241031,-0.15523017309661566,-0.29300855395228464
-0.024153216647891374,0.5409102365268933,0.2893492637362935,0.006325510148295784,0.014098509937166681,-0.123781947464848,-0.013969719507214049,-0.008917105079580826,-0.134849262648613,0.00672800404909013,-0.1037843028693892,-0.22474854553101722
-0.09639423453118026,0.5486957859965867,0.2900005896897104,-0.04148049009195296,-0.00033646688637852006,-0.14273817253020574,-0.04946479349273196,-0.011689403807684406,-0.14889936598311376,-0.037799357878398936,-0.015382494319997083,-0.15689103866012885
-0.07335644969525636,0.5449773922405313,0.2833285216601117,0.020898638458212614,0.02406353832819161,-0.1348310270918495,-0.006419629723790307,-0.008223953674164595,-0.1508910412116104,0.041917914301809946,-0.2238506437413222,-0.356557592844961
0.04102943746259955,0.5515763700517317,0.2776716306851025,-0.014332891292133278,-0.012756425605133482,-0.1477140050091111,-0.013082110183925175,-0.013912218819721297,-0.14926017003313072,-0.004242374543556084,0.02699630289607695,-0.11724118823597032
0.035488610078786016,0.544466893912091,0.2828585746739639,-0.006341826176888959,-0.006868471771632927,-0.14140986611974327,-0.011160483722279313,-0.014225302046217171,-0.14602155319139395,-0.0021475195558596696,0.04298959226145837,-0.09843548280173925
0.03852403546240439,0.5392546108977312,0.27449129499032543,0.025980463980894535,-0.01801211992890469,-0.1529353314373906,0.02999080354855695,-0.017673549085974842,-0.15436583331472095,0.031817057462887106,0.11751820084035054,-0.03841392786873814
0.042715517537409424,0.538132056643012,0.2635957771020544,0.020597484711990154,0.014665114699066638,-0.13184796302378368,-0.0004057844868847564,-0.009206841134345011,-0.1436144564356984,0.01820184751251198,-0.08230424580533194,-0.21463731876323652
-0.10900890224984103,0.5408396059044361,0.30046423901561287,-0.03909857824504556,-0.019098138865960523,-0.13975335981413964,-0.03319400380724088,-0.015189474422055935,-0.13893447134729123,-0.08604108463450623,0.23336000986358418,0.09461223426080502
-0.06949663885323618,0.5321705754010945,0.27786351670779186,-0.022107659237238553,0.003887018242420289,-0.1337483436756087,-0.0326320791814764,-0.010678920357330002,-0.14141611509414953,-0.020925632992170803,-0.02018400714178824,-0.15436232417465315
0.0491935788480745,0.5423957764132573,0.26599296205494793,0.012621535742191315,0.008801481053658166,-0.1396528593324187,-0.0021153058571898985,-0.009817112687602856,-0.1492323795008841,0.020538642713384438,-0.07995962959968171,-0.21885835633670833
0.030750298798287546,0.5589952735474697,0.27675470222706317,0.03525158374008075,-0.02262738516636146,-0.16258088410420374,0.042535464298119455,-0.01856934083049017,-0.16232123132115275,0.027568942463482377,0.16334606501844945,-0.0038986922415314403
0.02363334355311645,0.5577574352589223,0.28414249755870974,0.0354287248522169,0.003388709151483695,-0.14512931061481835,0.024077027850452484,-0.010765743144630446,-0.15258265182277814,0.0329946604610939,-0.004960500716621482,-0.1513443974894734
6.753484965592271e-05,0.5363688359925246,0.272995556369441,0.008124527577915347,-0.005096515097978538,-0.14830395172125702,0.003639812278368715,-0.012972769687511395,-0.15298853005938615,0.006391647751234367,0.028369910654643265,-0.1196798505963892
-0.03716225532387584,0.5402098810891184,0.2668497001378866,0.005507242306611856,0.012430357307971126,-0.13401190998502588,-0.010160695228017253,-0.008631983380258721,-0.14422010446894593,0.014173923722819686,-0.07145297673026997,-0.20510952397607135
0.06785980581812018,0.5436474705910918,0.2689904077731691,0.044083913243057556,0.013995818853137332,-0.1424927658328034,0.023650692206227945,-0.011021909907626595,-0.15430667426301084,0.03937359374274965,-0.04409116062207611,-0.18803373464956658
0.006023611954591713,0.5300998518778395,0.28982506404231867,0.031006893719021975,0.011277662279062494,-0.12285308468941451,0.013846385393732757,-0.00936428660751656,-0.1328590353134168,0.027118253602930426,-0.03545413292866438,-0.16007274532622195
-0.05703307643891829,0.5494881978022094,0.2757017825635754,-0.016025142708611956,-0.012462642327426625,-0.1482326398644041,-0.014778786924963259,-0.014223582501733882,-0.15013345657939658,-0.029453517835906752,0.0638074602286733,-0.08384041783334838
-0.024709811072119833,0.5409521980255454,0.29679832467908746,0.002938828083134021,-0.010928860561736652,-0.1409469754226066,0.0024325623302606995,-0.01453791471691725,-0.1437409533404887,-0.0035676669020825186,0.08262909742034824,-0.060719387394335994
-0.047577790048639226,0.5410578574559468,0.27934007627052776,0.05727967436705623,0.060406912375989025,-0.11468179141695263,0.006971250947632593,-0.0012283678448137118,-0.14174564758738764,0.06936066291745495,-0.23234678305249412,-0.35067551775883204
0.04345983390269294,0.5523648483544564,0.2914048221671922,-0.032293026787576715,-0.031826507124380246,-0.15063470150213376,-0.017271690695507318,-0.019327672085950605,-0.14643520337293603,-0.03766902489134662,0.16983143253111221,0.02222697466818045
0.014743476559637382,0.5493209265674777,0.2551104659133666,0.03668236876771337,-0.016284039520444427,-0.16686361658212404,0.03844638483828985,-0.018452907751147347,-0.16944928528428788,0.035100390242984836,0.08268808348292236,-0.08404683220741585
0.01995566176544744,0.5472206794101953,0.2792444630295548,0.039269549450813186,0.010630709829704061,-0.13839508593230418,0.02183161636439464,-0.011065041784087886,-0.1485311573816517,0.0331587392075737,-0.017109329706796923,-0.1581811798740917
0.021235731914199887,0.5398526433454147,0.28137780187696887,-0.014085097762748853,-0.018672325629883885,-0.14115130487124003,-0.008101887945362431,-0.015450584098463411,-0.14099782668389013,-0.008507283444782202,0.07876855012967159,-0.06215863938591735
-0.03280251294515488,0.543065941639442,0.2762701977797907,-0.02777798022036202,-0.01752933309253848,-0.14518321869440462,-0.022943811933989096,-0.014882188622206435,-0.14516635420781734,-0.029511416902213167,0.05859718671964009,-0.08444595485788356
-0.017485996036770198,0.549555871963956,0.28894857181820954,-0.023829661264817517,0.01869059424674239,-0.12232821176470987,-0.046896650601973004,-0.008062916709140906,-0.13542483005500636,-0.01922883343768396,-0.12183641011187121,-0.24398131856466385
0.013976074631486762,0.5511030523492181,0.2829934518666722,0.02532976876067131,0.00918119538958688,-0.13693330255817085,0.00874521647866833,-0.010855916791698849,-0.14646784801005652,0.02074479299655211,-0.026337600374245814,-0.16441156356301567
-0.11663388163264246,0.5514757774803735,0.2779721370560558,-0.08065861065000733,0.006679133053780491,-0.13015047967182294,-0.09262667946354887,-0.00958079882696081,-0.13790049428598775,-0.07916667513710816,-0.02788555800167562,-0.15804472437462017
-0.012556715677638426,0.5479216399883046,0.2884595235645819,0.005934414820865737,-0.004759289970575758,-0.1456303887928993,-0.00012765479194860497,-0.014784875899375414,-0.1514473243887269,-0.0023523124724937642,0.06705972521022764,-0.0822997910872684
-0.05414000301974358,0.540626900854532,0.27939278727878963,-0.024053633612964195,-0.011806361432341886,-0.14233125306343036,-0.02380540161098094,-0.014839367033702129,-0.14493704721780334,-0.021811947002629888,0.042725917055391645,-0.09835923348158969
-0.02383493030852418,0.5403569888144152,0.27189662628601247,0.04883140894841482,0.02383388006810674,-0.13103094144985494,0.023223606260860633,-0.008252412880852617,-0.14547804644561088,0.06468765564513498,-0.14722743068165495,-0.2725262024946075
0.06375197317157136,0.5407621389488521,0.27126747042418003,0.02984300081574369,-0.009132460741042783,-0.14597484715774828,0.0267113256884719,-0.014785808218130705,-0.1497205926495465,0.038409320090619765,0.04767008974588423,-0.09902829178978222
0.007965026478953066,0.5382092223667387,0.2796237469995832,0.003889196323672274,0.0021358140321843053,-0.13572138500537606,-0.006782295896845566,-0.01080634582931611,-0.14241590089150116,0.002471012718043243,-0.0063770399754904195,-0.14252823209495752
0.009980736750397528,0.5447046044682359,0.28958679805225995,0.06628688111497871,0.02165738362704373,-0.12328751030795089,0.045160629456990384,-0.006928236977420847,-0.13790671897269946,0.09426039413440582,-0.15568847819798762,-0.28166716861212493
0.0584921361660774,0.5416907828119141,0.2601928129752651,0.05697309898336315,-0.0007095595411405652,-0.15093226002568652,0.04774501606538704,-0.01417765895576527,-0.15831826434841248,0.0643984505866557,-0.03494288227578427,-0.18286966855852665
0.0250502190749174,0.5298649631865945,0.26678297485397434,0.028531859693419825,0.012974217023397384,-0.12724180840103805,0.008652657076274977,-0.009143224116499045,-0.1379638341310623,0.022740286168339733,-0.0662985520498154,-0.1936161549671126
-0.031533607248340666,0.5503085996560236,0.2753694283622246,-0.03012265068042453,-0.013710780373846133,-0.15356197859867649,-0.029000636311452353,-0.016121696498535044,-0.1560752577166069,-0.060344573138578335,0.16388876680074363,0.006692134378947671
-0.026670621088740108,0.5467378400384779,0.2585684187660334,0.014984400122887865,0.03410227343354134,-0.13233550353987006,-0.02036208800428918,-0.006558919236449269,-0.15055098890482158,0.011806514392800333,-0.1477058990764013,-0.2801945593101301
-0.009229994048950868,0.5442254225019955,0.27242588754439223,-0.021090237816239883,0.004450911202422138,-0.13305709944125743,-0.034382424512023106,-0.011221837176007995,-0.14080437300782206,-0.028559272992286448,0.028977627535430595,-0.10892906029259991
