alpha1,gamma1,beta1,alpha2,gamma2,beta2,alpha3,gamma3,beta3,alpha4,gamma4,beta4
-0.04979142866768816,0.5356549829984508,0.2657966337732961,-0.014425275316859148,0.0138952606116442,-0.1345947107350832,-0.14307600176303684,-0.08345010600879828,-0.1553806166531299,-0.024226480837948434,-0.0222330617581099,-0.15716573164902817
-0.008207932299802318,0.5386050855019062,0.2706240376310738,-0.030987809180516534,-0.013426818436901381,-0.1370664959838607,-0.12221534018980186,-0.08513126194554818,-0.1574598051587185,-0.04045749730498132,0.06605010267013213,-0.070951120264185
-0.013949834005581287,0.5347118159342475,0.2727438770899796,-0.018591607427395084,0.008357149224640181,-0.1312580938450139,-0.1309821308949289,-0.08156294259400758,-0.15106885649743249,-0.004568137948683825,-0.04419660100747836,-0.17506528586588105
-0.0003457933383655426,0.5510488180329083,0.2752719621127527,-0.0021608448881320795,-0.0072559484956568185,-0.14003405880371791,-0.09324860748154022,-0.08822835731085667,-0.16162164880498622,-0.012812316928607584,0.03318886856375647,-0.10694991793586768
-0.02557585761050983,0.5311624129345724,0.26999414896317464,0.014011318547237984,0.009443364507341442,-0.13539512026618744,-0.10412588705011566,-0.0880967660517885,-0.15736028355570614,0.02476793450971718,-0.04136051614422098,-0.1763519230842347
-0.033251731574412184,0.5340296362504594,0.2667187753683676,0.007257417003068145,-0.0014878356366410889,-0.13669285060991151,-0.07079562975090944,-0.08340938463302155,-0.15583336589845376,0.004832755011957464,0.004952990884513837,-0.13176418273190893
-0.02344646357849443,0.5344104514104598,0.2637726277828406,-0.034201710883862285,-0.008041487644257099,-0.14286176315541393,-0.1412172618336731,-0.08753594297100485,-0.16461828351345392,-0.03684373687370605,0.04168738676676187,-0.10122189540893914
0.03492244023108892,0.54043797866132,0.2747940538589831,0.05337594378100559,0.01600568768424517,-0.13716276036576905,-0.08019289420462031,-0.08211240408476479,-0.15799003842120965,0.062368703750060955,-0.06974150759618573,-0.2068342073783072
0.04234630071550476,0.5402798300227386,0.2729494487546075,0.0976795947707353,0.03616418212370955,-0.13559323060136297,-0.055846152092372,-0.08061909064544587,-0.15639677644386168,0.1011049268875412,-0.09603902538699727,-0.23155784840255275
0.021892204375229794,0.540656444777779,0.26971646388634135,0.025064657080006787,0.0034725456162971887,-0.13964202781899632,-0.0937022469622075,-0.08359360437068604,-0.160468481191384,0.02145780550877202,-0.005297982649720993,-0.14509438914258477
0.013093375863616778,0.5501613184216485,0.2813748213767828,0.07671141806134127,0.01450458958243986,-0.13938827434507323,-0.06542556874294528,-0.08107961881108787,-0.1603835462626296,0.09349563687153781,-0.11603746958585613,-0.25550705111951805
0.00834123480830086,0.5333377254438351,0.26305996726768516,0.0011785473380514929,-0.00029489573547814924,-0.14160073194390432,-0.11674271029342691,-0.0899074368964636,-0.16347557408972344,0.00983658654625848,-0.015733045834651547,-0.15706078456017405
0.0629799312861973,0.549246610183717,0.27785060657903804,0.0738396168453946,0.02001513680202884,-0.13361680652213676,-0.07346547250468453,-0.08213920174760181,-0.15423742332237544,0.06436478347641407,-0.056907448392652916,-0.19055147420363408
-0.003151006083916142,0.551910120914364,0.28590196693704356,0.00558738219506897,0.0019421957258057491,-0.132473738202216,-0.11658558092834188,-0.08128137839472258,-0.15143577457709573,0.004107134483548153,-0.005682406981331433,-0.13814921302883276
0.004309601010835028,0.5393861240206003,0.26577769370577703,-0.014322257380442611,-0.008436880944193351,-0.1378301659029575,-0.11188311677223506,-0.08622352467414432,-0.1578124018895583,-0.02808378501932297,0.049682476580663736,-0.08850641759588067
-0.013307705390767385,0.5359064705699353,0.27313104727790904,-0.03976490980044313,-0.011006273783384465,-0.13436701996192696,-0.14111798121134356,-0.08352166995174787,-0.1537706872943734,-0.0356970575007008,0.04074509826783843,-0.0936079260400281
0.030694525553531936,0.5425734281728577,0.2740279301708655,0.06408587217759129,0.007519862902474083,-0.13848617513521017,-0.05289210137430183,-0.0840866812991996,-0.1591625680586374,0.0540515703241303,-0.003885218713429436,-0.14270830357140843
-0.024240153922163197,0.547021412220966,0.28143990969578625,-0.008332648524003951,0.0035585301540774048,-0.13416867288081535,-0.1200601800139169,-0.0808891424198677,-0.1533360843364232,-0.0014218164344988724,-0.02448029744811261,-0.15843492886543759
0.04748860760852104,0.5476025062584571,0.27811268171066816,0.024760020864466648,0.002583237834497044,-0.13820996686516557,-0.09244769210635716,-0.08834048551005823,-0.1595380299023455,0.042483177735584764,-0.039492834403300675,-0.17710991202449258
-0.022200561253809793,0.5360113147540014,0.26822818398901793,4.535698672792703e-05,-0.0010390814974709807,-0.13962167963125757,-0.10179932107108991,-0.08627746372356974,-0.16044777499509594,0.013281308360778604,-0.01879113016087072,-0.15805640963712284
0.059740878139881805,0.5438250065359962,0.2737750995495969,0.014469479782813838,-0.018577124269721534,-0.13625356957597543,-0.05984457604609965,-0.08864092071261177,-0.15663425581667048,0.011932061499140558,0.048750120868672496,-0.08745602766434887
-0.0009105523676404709,0.5377309873634456,0.2714905730011715,0.029751360860149234,0.008925011445993478,-0.13570015763803667,-0.07457663300139625,-0.08185093175622281,-0.15577009120996413,0.03355609178053278,-0.02360038648279934,-0.15942117611274748
0.052512619875708794,0.5366541378993079,0.2708034082936073,0.06573217740562846,0.014380788155133903,-0.13999901228496345,-0.07697388433877005,-0.08472610815132356,-0.16121117921151285,0.05893607707493792,-0.04547595213842706,-0.185489189280973
-0.0006839058365486019,0.5404446496586716,0.27606682886482925,0.029004463481965684,0.014891918350266958,-0.13388226067971126,-0.08603024763686261,-0.08017659828151615,-0.15435302295075573,0.04621226005370489,-0.059719821558289726,-0.19359173667220092
0.028614300369945195,0.5536882232811365,0.2786597914694796,0.028712704709166988,0.0014906164633860619,-0.13710405036101167,-0.09579885003576978,-0.08510629019810419,-0.1575419029281402,0.020983399987431307,0.012779985823082448,-0.12461740745641395
0.015038829723243562,0.5329350345839393,0.26382738452652404,-0.00048509768890534974,-0.005332351441954269,-0.1423928648871659,-0.10144234241039929,-0.0872078115115974,-0.16324542547156848,-0.019519995840247106,0.04914130136948552,-0.09383695281898895
0.06065006806981038,0.5358749015391308,0.27176202843508973,0.017770612154900032,-0.00023048568591143488,-0.13540493771059875,-0.10263196463841125,-0.08183609485830226,-0.15506919871211727,0.016992626295581334,0.0035107329650653617,-0.13192715999571777
-0.08793418703829006,0.5372362800027471,0.2800695784843327,-0.02707526879180181,0.007482619878924361,-0.13263030139312107,-0.15808368172317386,-0.08430032486801878,-0.15271921712358388,-0.03561491577083283,-0.010842223903759147,-0.1435892820737426
-0.01810906539687372,0.5427718126370646,0.2786355401733425,-0.004548488078633054,-0.004154879729650191,-0.1337437646638086,-0.09810749242410928,-0.08302245736315476,-0.15337831861987736,-0.011775994576837291,0.0232352945796025,-0.11066733163167257
-0.004619293261546454,0.5345152153313831,0.269183770732379,-0.017065562279411334,-0.011807405121114804,-0.13657805226277075,-0.10376642433043591,-0.08599301846623549,-0.15678010612288726,-0.004864618551999901,0.011346640828108842,-0.12487090991370467
0.042002964770427975,0.5340171185803447,0.26770436363119515,0.07444444277291973,0.016804162502453986,-0.1387752481431058,-0.08618241126403603,-0.08328797353532995,-0.15992068388510966,0.05838865680091961,-0.060943233994896935,-0.19981315614842468
0.014360471950774459,0.5497653863126013,0.27416761844700577,-0.022196142904387678,0.004168442932400928,-0.13863273806091128,-0.1385632688484186,-0.08821390044338832,-0.16009322955830227,-0.024030085376749857,-0.009028126921286697,-0.14769955171364918
0.02693582131382929,0.5322109002161203,0.26285190615779813,0.052487244471487796,0.013768089572458479,-0.14100704621994847,-0.09048388827819615,-0.0869243388192203,-0.16240851925301975,0.039290052043579,-0.023984594742616147,-0.16519311514526552
-0.008591784289972652,0.5273658774800899,0.2679637408669718,-0.0016957434702049162,-0.02293465600309211,-0.13688035163724802,-0.07371638671975275,-0.08747099417022995,-0.1568967583481421,-0.00021198136225924534,0.0661062582638994,-0.07079800036843777
0.02375686526420974,0.533172426002192,0.2689443493740014,0.04445755017447729,-0.004430612002783105,-0.13789041933222332,-0.04242489426513094,-0.08228779723413257,-0.1576815492764645,0.04875908857133122,0.003663240734449129,-0.1340143104613081
0.07667586620685969,0.5407726523321714,0.2659940755196404,0.011907602981625093,-0.002585888184332148,-0.13863675328919423,-0.08452365631255634,-0.08641934159426609,-0.15971657126418937,0.023218556201108402,-0.01109001408118342,-0.14942556330969947
-0.0374784694562765,0.5385840182150043,0.2707455382165677,0.0025255473378041965,0.021987391142941834,-0.13419462986788758,-0.1369161382721128,-0.07758039381121734,-0.15415804516193893,0.0005375814405767017,-0.06674905546285388,-0.2013172805320983
0.00440401810383296,0.5474743998808187,0.27836337890071694,-0.007055317205391548,-0.019806720458034093,-0.14019367533318214,-0.07393036850014757,-0.08470032976711975,-0.15990985284375353,-0.0648037389938631,0.12514503502604585,-0.014841963226905133
0.018368771425892633,0.5229711164099283,0.25950262308531896,0.02918770546247359,0.007231963574985739,-0.13996355393365542,-0.08208961369769832,-0.08588201459696054,-0.1608024293202362,0.026658366124909523,-0.013623389000148213,-0.15367143861531124
-0.0027735212052882245,0.5377522061712856,0.26798063931144883,0.04048478191061947,0.024265723018281126,-0.14059351746835907,-0.09712114435532825,-0.08288576636337133,-0.16230059939502012,0.05621816524901162,-0.08926874336697149,-0.22990464257236748
-0.0462915707641758,0.5333196302231441,0.26391420736169774,-0.010642320789658202,-0.004637565824020224,-0.14019830218330603,-0.1048103190107325,-0.0833235683367742,-0.1608553268921517,-0.05257517883921347,0.07968188991549066,-0.0608178883412582
-0.004803927571412468,0.5430918914829884,0.2762478623138354,-0.034095097889377084,-0.0188190474121812,-0.1334231046284588,-0.11659671982680916,-0.08521610163041782,-0.1532572393904288,-0.04470109259764967,0.08813934106121411,-0.0453490268412447
0.03984665099116507,0.5414777148728156,0.2687553688878914,0.01852476896306107,-0.007185391907822928,-0.13869498385065335,-0.08545847818278451,-0.08431180821767531,-0.15846078129086907,0.02272788987505419,0.01983895245783288,-0.11874473488237733
-0.010245732660894093,0.5411760230231497,0.27586579751113816,0.03984910493134251,0.012515861810593694,-0.13564023555634483,-0.10293279229122887,-0.08451315571198685,-0.1561132760142917,0.025978774690287653,-0.022479115530979834,-0.1582090064296617
-0.02001644852173288,0.5342048176513181,0.269543089560505,-0.06476554145268773,-0.026600111250344366,-0.13474161034033288,-0.12512755505004128,-0.08607891225998657,-0.15399966323856268,-0.07899642682358986,0.0851499047395046,-0.04944380416240194
0.006234867890866814,0.539532222340742,0.2777550681354852,-0.02734207305567998,-0.008899210250946706,-0.1334846417314192,-0.12624472719054347,-0.08592500472703908,-0.15408734441955954,-0.030759069445793076,0.03878688326624313,-0.09477370120530045
-0.0789851112451318,0.5396333433708026,0.27478446457991895,-0.00677679531439647,0.012570234949149783,-0.13847804261744975,-0.13803523292790904,-0.08653643839409125,-0.16008842586161576,-0.0017686554503636093,-0.044513488245718984,-0.18284526588617023
